Well #,Season,Name of Village,State as of 2016,lat,long,GPS
60,2010,Tokyiep,Gogrial,8.454444444444444,28.710833333333333,8.454444444444444 28.710833333333333
61,2010,Wargol,Wau,8.115555555555556,190.25,8.115555555555556 190.25
62,2010,Tiitmayom,Gogrial,8.148333333333333,28.343055555555555,8.148333333333333 28.343055555555555
63,2010,Bar Amiyok,Wau,7.955277777777778,28.269166666666667,7.955277777777778 28.269166666666667
64,2010,Adiet,Wau,8.181944444444444,28.32777777777778,8.181944444444444 28.32777777777778
65,2010,Lojo,Wau,8.008888888888889,28.26777777777778,8.008888888888889 28.26777777777778
66,2010,Wuntim,Gogrial,8.133333333333333,28.37611111111111,8.133333333333333 28.37611111111111
67,2010,Angothol,Wau,7.837777777777778,28.178611111111113,7.837777777777778 28.178611111111113
68,2010,Lelkang,Wau,7.943888888888889,28.345,7.943888888888889 28.345
70,2010,Alab,Wau,7.791388888888889,28.166944444444447,7.791388888888889 28.166944444444447
71,2010, Zerah (Fadali School),Wau,7.933333333333334,28.224166666666665,7.933333333333334 28.224166666666665
72,2010,Abunybuny,Wau,7.768888888888889,28.2475,7.768888888888889 28.2475
74,2010,Eastern Bank Market,Wau,7.757777777777778,28.2025,7.757777777777778 28.2025
75,2010,Sumuot,Wau,7.927222222222222,28.151666666666667,7.927222222222222 28.151666666666667
77,2011,Thattiikmuoc,Tonj ,8.59861111111111,29.0875,8.59861111111111 29.0875
83,2011,Awuol,Tonj ,8.202777777777778,28.80611111111111,8.202777777777778 28.80611111111111
84,2011,Bhol,Wau,7.7636111111111115,28.234444444444446,7.7636111111111115 28.234444444444446
85,2011,Wingo,Wau,8.001944444444444,28.319166666666668,8.001944444444444 28.319166666666668
86,2011,Luonyakeer,Gogrial,8.458055555555555,28.532777777777778,8.458055555555555 28.532777777777778
90,2011,Mabior -Abun Pimary School,Wau,8.15,28.30361111111111,8.15 28.30361111111111
91,2011,Ayibuth,Tonj ,8.427777777777777,28.9675,8.427777777777777 28.9675
92,2011,Manyiel,Tonj ,8.279166666666667,28.87527777777778,8.279166666666667 28.87527777777778
93,2011,Tharakon,Tonj ,8.155555555555557,29.086388888888887,8.155555555555557 29.086388888888887
94,2011,Aguor,Tonj ,8.381944444444445,29.08666666666667,8.381944444444445 29.08666666666667
95,2011,Anaak,Tonj ,8.2625,29.016944444444444,8.2625 29.016944444444444
96,2011,Ayuang,Tonj ,8.328888888888889,29.43166666666667,8.328888888888889 29.43166666666667
97,2011,Angotbuol,Tonj ,8.280555555555555,29.28972222222222,8.280555555555555 29.28972222222222
98,2011,Gangmiir,Tonj ,8.37138888888889,29.26,8.37138888888889 29.26
99,2011,Gormok,Tonj ,8.253888888888888,29.36916666666667,8.253888888888888 29.36916666666667
100,2011,Wunkuel,Tonj ,8.453611111111112,29.49138888888889,8.453611111111112 29.49138888888889
101,2011,Acholok,Tonj ,8.528055555555556,29.269166666666667,8.528055555555556 29.269166666666667
102,2011,Ahoobu,Tonj ,8.470833333333333,29.215,8.470833333333333 29.215
103,2011,Aguoch,Tonj ,8.344722222222222,29.175833333333333,8.344722222222222 29.175833333333333
104,2011,Makuach,Tonj ,8.470277777777778,29.276944444444446,8.470277777777778 29.276944444444446
105,2012,Lualgol Primary School,Gogrial,8.324444444444445,28.498055555555556,8.324444444444445 28.498055555555556
106,2012,Wun Abyei,Gogrial,8.203333333333333,28.341944444444444,8.203333333333333 28.341944444444444
107,2012,Thiou Primary ,Gogrial,8.29361111111111,28.516111111111112,8.29361111111111 28.516111111111112
