Well #,Season,Name of Village,State as of 2016,lat,long
343,2019,Thor-Amiyok,Tonj,8.53,28.70916667
344,2019,Adiaujook,Tonj,8.653888889,28.99305556
345,2019,Thou-yiik,Tonj,8.695555556,28.94027778
346,2019,Paweny,Tonj,8.639722222,28.89083333
347,2019,Lath-jak,Tonj,8.673055556,28.94
348,2019,Mayen-Awakou,Tonj,8.534166667,29.12111111
349,2019,Mangot ,Tonj,8.661666667,29.14
350,2019,Alatip,Tonj,8.516111111,29.17194444
351,2019,Marial-Adot Pri. School,Tonj,8.492777778,28.97944444
352,2019,Marial Akech Primary Sch,Tonj,8.494722222,28.98277778
353,2019,Wunkuel,Tonj,8.654444444,29.11222222
354,2019,Lang Kap,Tonj,8.798611111,29.13527778
355,2019,Riangper,Tonj,8.779166667,29.1225
356,2019,Panhom-Lang,Tonj,8.694444444,28.94222222
357,2019,Dargon,Tonj,8.3575,29.07972222
358,2019,Mamal,Tonj,8.264166667,28.2675
359,2019,Majur ,Tonj,8.259722222,28.20444444
360,2019,Aker-aher,Tonj,8.463888889,29.12472222
361,2019,Achol,Tonj,8.110833333,29.02416667
362,2019,Akotdit,Tonj,7.28,28.67
363,2019,War-thou,Tonj,8.016666667,29.04083333
364,2019,Malou,Tonj,8.134166667,28.07472222
365,2019,Achir,Tonj,9.083888889,28.17138889
366,2019,Wun-Adhot,Tonj,8.153333333,28.92166667
367,2019,Ga-Gir,Tonj,8.079444444,28.96666667
368,2019,Wunkuel,Tonj,8.114722222,28.93583333
369,2019,Mayen-Dong ,Tonj,8.136944444,29.10138889
370,2019,Aduktik Primary School,Gogrial,8.414166667,28.44333333
371,2019,Maluil,Gogrial,8.280555556,28.50305556
372,2019,Wunkuel,Tonj,7.8925,28.64972222
373,2019,Aguath,Tonj,8.150277778,28.42055556
374,2019,Pool Chang,Tonj,8.289722222,28.43583333
375,2019,Wun-Agep,Tonj,7.820555556,28.33888889
376,2019,Mangar-Kiech,Gogrial,8.156388889,28.48416667
377,2019,Achuk Primary School,Gogrial,8.180277778,28.35805556
378,2019,Rumkuel,Gogrial,8.391666667,28.35638889
379,2019,Waryar,Gogrial,8.386944444,28.44666667
380,2019,Riak-bet,Gogrial,8.212777778,28.22361111
381,2019,Block-E,Wau,7.819444444,28.04805556
382,2019,Sunday Primary School ,Wau,7.859722222,28.07694444
383,2019,Rumbek Jadit,Wau,7.823611111,28.17722222
384,2019,Majak ,Wau,7.670555556,28.07305556
385,2019,Hai Jebel-kher and Bright Future S.S,Wau,7.747777778,27.985
386,2019,Nazareth ,Wau,7.834444444,28.12944444
387,2019,Bilpam ,Wau ,7.895277778,28.10138889
388,2019,"Wau "" A"" Girls Primary School",Wau,7.710277778,28.015
389,2019,Nazareth ,Wau,7.926944444,28.09722222
400,2019,Hai Jebel ,Wau,7.859166667,28.15638889
17,2007,Achierchok,Tonj ,8.614285,28.745443
19,2008,Kuacjok,Gogrial,8.306762,27.912833
20,2008,Kuajok,Gogrial,8.308124,27.97594
21,2008,Kuajok,Gogrial,8.305501,27.974567
22,2008, Kuacjok Town,Gogrial,8.310846,27.979081
23,2008,Kuajok,Gogrial,8.31338,27.986028
24,2008,Kuajok,Gogrial,8.303265,27.986303
25,2008,Kuajok,Gogrial,8.312885,27.988962
26,2008,Kuajok,Gogrial,8.310069,27.967935
29,2008,Malual monyjoc Primary School,Gogrial,8.356901,27.924302
36,2009,Lang village,Gogrial,8.883643,28.021825
37,2009,Lang Primary School,Gogrial,8.878717,28.026371
38,2009,Maduol ,Gogrial,8.946779,27.863015
39,2009,Awich,Gogrial,8.938448,27.835136
40,2009,Abooth,Gogrial,8.950228,28.847855
42,2009,WFS Old compound in Wau,Wau,7.71077,28.032771
89,2011,Amoukou,Tonj ,8.56111,28.722675
148,2013,Buat Angui,Twic,9.161565,28.397066
149,2013,Wuriang,Twic,9.14938,28.395024
150,2013,Amieat,Twic,9.159964,28.403964
151,2013,Mabil,Twic,9.164053,28.374056
152,2013,Kueech Pareng,Twic,8.91917,27.42694
153,2013,Kueech,Gogrial,8.846701,28.247108
154,2013,Marol Athokpur,Gogrial,8.864719,28.070154
155,2013,Machar Kuel,Gogrial,8.864317,28.084884
156,2013,Akon,Gogrial,8.893365,27.950044
157,2013,Nyok Thiang,Gogrial,8.66681,27.995542
159,2013,Ngapadhiang,Gogrial,8.564075,28.036691
260,2016,Majook Ken,Twic,9.066191,28.313298
261,2016,Bookanyara,Twic,9.088089,28.306149
266,2016,Malek Akol,Gogrial,8.809108,28.240486
269,2016,Gaikou,Gogrial,8.597584,28.148838
272,2016,Mouraruor Primary School,Gogrial,8.224033,27.965679
280,2016,Aru Junction,Central Equatoria,42.247333,31.982666
281,2016,Ofiri (Langabu),Central Equatoria,43.592441,32.049638
282,2016,Lirya Center,Central Equatoria,43.658045,32.081391
401,2019,Warhuk,Wau,7.821955,27.933984
402,2019,Ger-Ajiep,Wau,7.925305,27.98357
403,2019,Beling Achol,Wau,7.918773,27.983958
404,2019,Riangnhom ,Gogrial ,8.120638,27.946019
405,2020,Adhothic ,Gogrial ,8.272458,28.063678
406,2020,Khiiric Primary School,Gogrial ,8.193789,28.147642
407,2020,Majok Ken ,Twic,9.060578,28.3201
408,2020,Gumgoi,Twic,9.117473,28.357209
409,2020,Malek Ngok Primary School,Gogrial ,8.736813,28.145308
410,2020,Maluil Aluel - Primary School,Gogrial ,8.598692,28.331118
411,2020,Buon-Nyoor,Gogrial ,8.633077,28.314612
412,2020,Wuntit,Gogrial ,8.686607,28.291045
413,2020,Nyiorthok Marul,Gogrial ,8.284778,28.124869
414,2020,Achool/Abuokdiit,Gogrial ,8.71627,28.368261
415,2020,Panyuom,Gogrial ,8.707364,28.363945
416,2020,Marial Akuien Primary School,Gogrial ,8.675292,28.397801
417,2020,Rum-muoth ,Gogrial ,8.6246697,28.376196
418,2020,Panthony,Gogrial ,8.6201619,28.369369
419,2020,Panchier Primary School,Gogrial,8.61242638,28.355223
420,2020,Patai,Gogrial ,8.60221412,28.360869
421,2020,Machar Akol,Gogrial ,8.777512,28.460207
422,2020,Chuei Akuong/Pan Jak,Gogrial,8.707326,28.452977
423,2020,Mayom Dunguer/Roordit ,Gogrial,8.696559,28.409151
424,2020,Thuor Geng Anei,Gogrial,8.738526,28.497476
425,2020,Galual Primary School,Gogrial,8.72731,28.51249
426,2020,Agumuot ,Gogrial,8.840372,28.54515
427,2020,Thur-Agaar,Gogrial,8.740261,28.48787
428,2020,Tiit-thok,Gogrial ,8.850743,28.560865
429,2020,Riang Mabior ,Gogrial ,8.833539,28.561873
430,2020,Gong Peer Primary School,Gogrial ,8.828808,28.575213
431,2020,Water for South Sudan-Compound ,Wau,7.72155,28.039115
432,2020,Awutuop,Gogrial,8.807506,28.509123
433,2020,Thur-juoth,Gogrial ,8.808575,28.559001
434,2020,Chuei-Makiech,Gogrial ,8.801226,28.528591
435,2020,Rumliet Primary School,Gogrial ,8.790194,28.510969
436,2020,Majok Donguar Primary School,Gogrial,8.81638,28.510852
437,2020,Giny-jur,Gogrial ,8.7267353,28.5224032
438,2020,Majak-Nyuom Primary School,Gogrial ,8.73042,28.531277
439,2020,Marial -Nyap,Gogrial ,8.737577,28.535263
440,2020,Adhuothic ,Gogrial ,8.71298694,28.57218962
441,2020,Marial Pajieng,Gogrial ,8.745362,28.541494
442,2020,Aringhok Primary School,Gogrial ,8.75550141,28.56311892
443,2020,Rum Pagong,Gogrial ,8.74867388,28.55802429
